classcop.shinhan.com 59.7.254.12     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
dtsfm.shinhan.com    59.7.254.12     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
edutestdup.shinhan.com 59.7.254.12     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
mhwasang.shinhan.com 59.7.254.88     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
noface.shinhan.com   59.7.252.163    (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
open.shinhan.com     59.7.252.92     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
open-1.shinhan.com   59.7.252.81     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
pension.shinhan.com  59.7.252.81     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
sbizbank.shinhan.com 59.7.252.104    (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
sign.shinhan.com     59.7.252.92     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
s-mail.shinhan.com   59.7.252.90     (Expire Date: Dec 15 23:59:59 2023 GMT, Serial Number: 0D73F46FF512827CA65E53DA8076D130)
